,image,label
0,/Users/cristianespinosa/Documents/RESUME_Summer_2023/GAN_Project/RESUME_UCM_GAN/data/CelebA/Train/Female/052628.jpg,1
1,/Users/cristianespinosa/Documents/RESUME_Summer_2023/GAN_Project/RESUME_UCM_GAN/data/CelebA/Train/Female/065084.jpg,1
2,/Users/cristianespinosa/Documents/RESUME_Summer_2023/GAN_Project/RESUME_UCM_GAN/data/CelebA/Train/Female/108526.jpg,1
3,/Users/cristianespinosa/Documents/RESUME_Summer_2023/GAN_Project/RESUME_UCM_GAN/data/CelebA/Train/Female/139923.jpg,1
4,/Users/cristianespinosa/Documents/RESUME_Summer_2023/GAN_Project/RESUME_UCM_GAN/data/CelebA/Train/Female/003301.jpg,1
5,/Users/cristianespinosa/Documents/RESUME_Summer_2023/GAN_Project/RESUME_UCM_GAN/data/CelebA/Train/Female/150995.jpg,1
6,/Users/cristianespinosa/Documents/RESUME_Summer_2023/GAN_Project/RESUME_UCM_GAN/data/CelebA/Train/Female/141640.jpg,1
7,/Users/cristianespinosa/Documents/RESUME_Summer_2023/GAN_Project/RESUME_UCM_GAN/data/CelebA/Train/Female/118735.jpg,1
8,/Users/cristianespinosa/Documents/RESUME_Summer_2023/GAN_Project/RESUME_UCM_GAN/data/CelebA/Train/Female/151453.jpg,1
9,/Users/cristianespinosa/Documents/RESUME_Summer_2023/GAN_Project/RESUME_UCM_GAN/data/CelebA/Train/Female/013112.jpg,1
10,/Users/cristianespinosa/Documents/RESUME_Summer_2023/GAN_Project/RESUME_UCM_GAN/data/CelebA/Train/Female/081470.jpg,1
11,/Users/cristianespinosa/Documents/RESUME_Summer_2023/GAN_Project/RESUME_UCM_GAN/data/CelebA/Train/Female/055147.jpg,1
12,/Users/cristianespinosa/Documents/RESUME_Summer_2023/GAN_Project/RESUME_UCM_GAN/data/CelebA/Train/Female/101264.jpg,1
13,/Users/cristianespinosa/Documents/RESUME_Summer_2023/GAN_Project/RESUME_UCM_GAN/data/CelebA/Train/Female/097212.jpg,1
14,/Users/cristianespinosa/Documents/RESUME_Summer_2023/GAN_Project/RESUME_UCM_GAN/data/CelebA/Train/Female/005770.jpg,1
15,/Users/cristianespinosa/Documents/RESUME_Summer_2023/GAN_Project/RESUME_UCM_GAN/data/CelebA/Train/Female/054259.jpg,1
16,/Users/cristianespinosa/Documents/RESUME_Summer_2023/GAN_Project/RESUME_UCM_GAN/data/CelebA/Train/Female/116718.jpg,1
17,/Users/cristianespinosa/Documents/RESUME_Summer_2023/GAN_Project/RESUME_UCM_GAN/data/CelebA/Train/Female/141898.jpg,1
18,/Users/cristianespinosa/Documents/RESUME_Summer_2023/GAN_Project/RESUME_UCM_GAN/data/CelebA/Train/Female/098121.jpg,1
19,/Users/cristianespinosa/Documents/RESUME_Summer_2023/GAN_Project/RESUME_UCM_GAN/data/CelebA/Train/Female/109638.jpg,1
20,/Users/cristianespinosa/Documents/RESUME_Summer_2023/GAN_Project/RESUME_UCM_GAN/data/CelebA/Train/Female/157022.jpg,1
21,/Users/cristianespinosa/Documents/RESUME_Summer_2023/GAN_Project/RESUME_UCM_GAN/data/CelebA/Train/Female/015563.jpg,1
22,/Users/cristianespinosa/Documents/RESUME_Summer_2023/GAN_Project/RESUME_UCM_GAN/data/CelebA/Train/Female/053536.jpg,1
23,/Users/cristianespinosa/Documents/RESUME_Summer_2023/GAN_Project/RESUME_UCM_GAN/data/CelebA/Train/Female/062933.jpg,1
24,/Users/cristianespinosa/Documents/RESUME_Summer_2023/GAN_Project/RESUME_UCM_GAN/data/CelebA/Train/Female/158311.jpg,1
25,/Users/cristianespinosa/Documents/RESUME_Summer_2023/GAN_Project/RESUME_UCM_GAN/data/CelebA/Train/Female/024966.jpg,1
26,/Users/cristianespinosa/Documents/RESUME_Summer_2023/GAN_Project/RESUME_UCM_GAN/data/CelebA/Train/Female/105002.jpg,1
27,/Users/cristianespinosa/Documents/RESUME_Summer_2023/GAN_Project/RESUME_UCM_GAN/data/CelebA/Train/Female/001516.jpg,1
28,/Users/cristianespinosa/Documents/RESUME_Summer_2023/GAN_Project/RESUME_UCM_GAN/data/CelebA/Train/Female/084508.jpg,1
29,/Users/cristianespinosa/Documents/RESUME_Summer_2023/GAN_Project/RESUME_UCM_GAN/data/CelebA/Train/Female/067693.jpg,1
30,/Users/cristianespinosa/Documents/RESUME_Summer_2023/GAN_Project/RESUME_UCM_GAN/data/CelebA/Train/Female/039089.jpg,1
31,/Users/cristianespinosa/Documents/RESUME_Summer_2023/GAN_Project/RESUME_UCM_GAN/data/CelebA/Train/Female/076946.jpg,1
32,/Users/cristianespinosa/Documents/RESUME_Summer_2023/GAN_Project/RESUME_UCM_GAN/data/CelebA/Train/Female/153244.jpg,1
